c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
-2.276605834960937500e+02,5.501918411254882812e+01,5.818973541259765625e+01,3.395020294189453125e+01,1.450813770294189453e+01,1.937227058410644531e+01,5.487212181091308594e+00,-7.550149917602539062e+00,5.304084777832031250e+00,-9.331635236740112305e-01,-3.354942321777343750e+00,-2.893936634063720703e+00,1.104220509529113770e+00
-1.574133758544921875e+02,7.104302978515625000e+01,4.944720458984375000e+01,1.537947082519531250e+01,-4.784054756164550781e+00,1.572835731506347656e+01,8.555475234985351562e+00,-1.281518554687500000e+01,-1.166690707206726074e+00,-7.318256855010986328e+00,-9.051680564880371094e-01,3.229745388031005859e+00,1.502054929733276367e+00
-1.220041427612304688e+02,8.004241943359375000e+01,3.330121612548828125e+01,2.789414644241333008e+00,-1.369886970520019531e+01,1.393150806427001953e+01,4.873506546020507812e+00,-1.279655265808105469e+01,1.970200538635253906e-01,-6.774762630462646484e+00,-1.577764630317687988e+00,7.084625244140625000e+00,3.109670639038085938e+00
-1.134992904663085938e+02,8.152169036865234375e+01,1.743402862548828125e+01,-2.841655015945434570e+00,-1.253230285644531250e+01,1.994875717163085938e+01,4.670541286468505859e+00,-9.167079925537109375e+00,-2.360416650772094727e+00,-4.091243743896484375e+00,2.991594791412353516e+00,6.530634880065917969e+00,-2.588420152664184570e+00
-1.072006454467773438e+02,8.676078033447265625e+01,8.990692138671875000e+00,-4.744240760803222656e+00,-1.938736724853515625e+01,2.225473976135253906e+01,5.022723197937011719e+00,-1.215856742858886719e+01,-3.983118295669555664e+00,-2.683398723602294922e+00,5.196061611175537109e+00,5.971665382385253906e+00,-4.101789474487304688e+00
-1.179835205078125000e+02,8.630023956298828125e+01,1.028517436981201172e+01,5.678385734558105469e+00,-1.861624908447265625e+01,1.847026443481445312e+01,2.707053661346435547e+00,-1.687084770202636719e+01,-8.266798019409179688e+00,-1.748888492584228516e-01,4.607913494110107422e+00,-8.360641598701477051e-01,-6.218849658966064453e+00
-1.497905120849609375e+02,8.420588684082031250e+01,2.870516967773437500e+01,2.626359939575195312e+01,-1.664248657226562500e+01,8.176445007324218750e+00,-4.278790473937988281e+00,-1.804234313964843750e+01,-1.151281929016113281e+01,-5.527245998382568359e+00,4.580552101135253906e+00,6.191847324371337891e-01,-6.457756996154785156e+00
-1.753630218505859375e+02,8.619734954833984375e+01,3.456558990478515625e+01,3.474894714355468750e+01,-1.077173995971679688e+01,7.991213798522949219e+00,-1.355824089050292969e+01,-1.916853332519531250e+01,-8.987241744995117188e+00,-9.419752120971679688e+00,1.268459081649780273e+00,1.177749538421630859e+01,-8.337917327880859375e-01
-2.018071899414062500e+02,9.393760681152343750e+01,3.497854232788085938e+01,2.806121826171875000e+01,-8.302995681762695312e+00,1.526001644134521484e+01,-1.020321655273437500e+01,-1.600719451904296875e+01,-1.454462528228759766e+01,-1.326238059997558594e+01,2.046531915664672852e+00,1.604309463500976562e+01,1.159031629562377930e+00
-1.766690368652343750e+02,1.192742004394531250e+02,2.002136230468750000e+01,7.092948913574218750e+00,-1.448975372314453125e+01,2.076173019409179688e+01,-6.541316986083984375e+00,-2.412644195556640625e+01,-2.211867141723632812e+01,-1.153712844848632812e+01,-6.525427103042602539e-02,2.403017425537109375e+01,7.101366043090820312e+00
-1.611400909423828125e+02,1.398698120117187500e+02,8.107185363769531250e+00,4.409302711486816406e+00,-2.171604919433593750e+01,1.537418937683105469e+01,1.895064473152160645e+00,-2.317931747436523438e+01,-2.306234741210937500e+01,-1.000182628631591797e+01,-5.718212127685546875e+00,2.650916099548339844e+01,1.283873844146728516e+01
-1.824895172119140625e+02,1.638546447753906250e+02,1.119265365600585938e+01,7.491495132446289062e+00,-3.146337509155273438e+01,2.083873987197875977e+00,8.594567298889160156e+00,-1.442783164978027344e+01,-2.584121322631835938e+01,-1.748331069946289062e+01,-1.304662799835205078e+01,1.447611999511718750e+01,1.711928367614746094e+01
-1.869438476562500000e+02,1.475974731445312500e+02,1.875143051147460938e+01,2.262367439270019531e+01,-4.428749084472656250e+01,2.677757024765014648e+00,2.724303960800170898e+00,-9.193754196166992188e+00,-1.369837665557861328e+01,-2.238748168945312500e+01,-1.495992469787597656e+01,3.176010847091674805e+00,1.297366428375244141e+01
-1.942704467773437500e+02,1.235102386474609375e+02,2.649845123291015625e+01,3.020301818847656250e+01,-4.243233871459960938e+01,4.466692924499511719e+00,2.194214820861816406e+00,-5.877923965454101562e+00,-7.283633708953857422e+00,-2.243376159667968750e+01,-1.170937061309814453e+01,-1.855967760086059570e+00,9.822412490844726562e+00
-2.092016143798828125e+02,1.032628936767578125e+02,3.918590164184570312e+01,2.301029968261718750e+01,-3.656455230712890625e+01,8.061609268188476562e+00,1.160035133361816406e+00,-3.460538387298583984e+00,-1.040358066558837891e+01,-2.484700393676757812e+01,-1.150748825073242188e+01,-2.976472139358520508e+00,1.521475696563720703e+01
